"Segment","Country","Product","Discount Band","Units Sold","Manufacturing Price","Sale Price","Gross Sales","Discounts"," Sales","COGS","Profit","Date","Month Number","Month Name","Year"
"Channel Partners","France","Montana","Low","1901"," $ 5 "," $ 12 "," $ 22,812 "," $ 684 "," $ 22,128 "," $ 5,703 "," $ 16,425 ","6/1/2014","6","June","2014"
"Government","France","Montana","Low","544"," $ 5 "," $ 7 "," $ 3,808 "," $ 114 "," $ 3,694 "," $ 2,720 "," $ 974 ","9/1/2014","9","September","2014"
"Government","Germany","Montana","Low","1797"," $ 5 "," $ 350 "," $ 628,950 "," $ 18,869 "," $ 610,082 "," $ 467,220 "," $ 142,862 ","9/1/2013","9","September","2013"
"Enterprise","France","Montana","Low","1287"," $ 5 "," $ 125 "," $ 160,875 "," $ 4,826 "," $ 156,049 "," $ 154,440 "," $ 1,609 ","12/1/2014","12","December","2014"
"Enterprise","Germany","Montana","Low","1706"," $ 5 "," $ 125 "," $ 213,250 "," $ 6,398 "," $ 206,853 "," $ 204,720 "," $ 2,133 ","12/1/2014","12","December","2014"
"Small Business","France","Paseo","Low","2434"," $ 10 "," $ 300 "," $ 730,350 "," $ 21,911 "," $ 708,440 "," $ 608,625 "," $ 99,815 ","1/1/2014","1","January","2014"
"Enterprise","Canada","Paseo","Low","1774"," $ 10 "," $ 125 "," $ 221,750 "," $ 6,653 "," $ 215,098 "," $ 212,880 "," $ 2,218 ","3/1/2014","3","March","2014"
"Channel Partners","France","Paseo","Low","1901"," $ 10 "," $ 12 "," $ 22,812 "," $ 684 "," $ 22,128 "," $ 5,703 "," $ 16,425 ","6/1/2014","6","June","2014"
"Small Business","Germany","Paseo","Low","689"," $ 10 "," $ 300 "," $ 206,700 "," $ 6,201 "," $ 200,499 "," $ 172,250 "," $ 28,249 ","6/1/2014","6","June","2014"
"Enterprise","Germany","Paseo","Low","1570"," $ 10 "," $ 125 "," $ 196,250 "," $ 5,888 "," $ 190,363 "," $ 188,400 "," $ 1,963 ","6/1/2014","6","June","2014"
"Channel Partners","United States of America","Paseo","Low","1370"," $ 10 "," $ 12 "," $ 16,434 "," $ 493 "," $ 15,941 "," $ 4,109 "," $ 11,832 ","7/1/2014","7","July","2014"
"Enterprise","Canada","Paseo","Low","2009"," $ 10 "," $ 125 "," $ 251,125 "," $ 7,534 "," $ 243,591 "," $ 241,080 "," $ 2,511 ","10/1/2014","10","October","2014"
"Midmarket","Germany","Paseo","Low","1945"," $ 10 "," $ 15 "," $ 29,175 "," $ 875 "," $ 28,300 "," $ 19,450 "," $ 8,850 ","10/1/2013","10","October","2013"
"Enterprise","France","Paseo","Low","1287"," $ 10 "," $ 125 "," $ 160,875 "," $ 4,826 "," $ 156,049 "," $ 154,440 "," $ 1,609 ","12/1/2014","12","December","2014"
"Enterprise","Germany","Paseo","Low","1706"," $ 10 "," $ 125 "," $ 213,250 "," $ 6,398 "," $ 206,853 "," $ 204,720 "," $ 2,133 ","12/1/2014","12","December","2014"
"Enterprise","Canada","Velo","Low","2009"," $ 120 "," $ 125 "," $ 251,125 "," $ 7,534 "," $ 243,591 "," $ 241,080 "," $ 2,511 ","10/1/2014","10","October","2014"
"Small Business","United States of America","VTT","Low","2844"," $ 250 "," $ 300 "," $ 853,200 "," $ 25,596 "," $ 827,604 "," $ 711,000 "," $ 116,604 ","2/1/2014","2","February","2014"
"Channel Partners","Mexico","VTT","Low","1916"," $ 250 "," $ 12 "," $ 22,992 "," $ 690 "," $ 22,302 "," $ 5,748 "," $ 16,554 ","4/1/2014","4","April","2014"
"Enterprise","Germany","VTT","Low","1570"," $ 250 "," $ 125 "," $ 196,250 "," $ 5,888 "," $ 190,363 "," $ 188,400 "," $ 1,963 ","6/1/2014","6","June","2014"
"Small Business","Canada","VTT","Low","1874"," $ 250 "," $ 300 "," $ 562,200 "," $ 16,866 "," $ 545,334 "," $ 468,500 "," $ 76,834 ","8/1/2014","8","August","2014"
"Government","Mexico","VTT","Low","1642"," $ 250 "," $ 350 "," $ 574,700 "," $ 17,241 "," $ 557,459 "," $ 426,920 "," $ 130,539 ","8/1/2014","8","August","2014"
"Midmarket","Germany","VTT","Low","1945"," $ 250 "," $ 15 "," $ 29,175 "," $ 875 "," $ 28,300 "," $ 19,450 "," $ 8,850 ","10/1/2013","10","October","2013"
"Government","Canada","Carretera","Low","831"," $ 3 "," $ 20 "," $ 16,620 "," $ 499 "," $ 16,121 "," $ 8,310 "," $ 7,811 ","5/1/2014","5","May","2014"
"Government","Mexico","Paseo","Low","1760"," $ 10 "," $ 7 "," $ 12,320 "," $ 370 "," $ 11,950 "," $ 8,800 "," $ 3,150 ","9/1/2013","9","September","2013"
"Government","Canada","Velo","Low","3850"," $ 120 "," $ 20 "," $ 77,010 "," $ 2,310 "," $ 74,700 "," $ 38,505 "," $ 36,195 ","4/1/2014","4","April","2014"
"Channel Partners","Germany","VTT","Low","2479"," $ 250 "," $ 12 "," $ 29,748 "," $ 892 "," $ 28,856 "," $ 7,437 "," $ 21,419 ","1/1/2014","1","January","2014"
"Midmarket","Mexico","Montana","Low","2031"," $ 5 "," $ 15 "," $ 30,465 "," $ 1,219 "," $ 29,246 "," $ 20,310 "," $ 8,936 ","10/1/2014","10","October","2014"
"Midmarket","Mexico","Paseo","Low","2031"," $ 10 "," $ 15 "," $ 30,465 "," $ 1,219 "," $ 29,246 "," $ 20,310 "," $ 8,936 ","10/1/2014","10","October","2014"
"Midmarket","France","Paseo","Low","2261"," $ 10 "," $ 15 "," $ 33,915 "," $ 1,357 "," $ 32,558 "," $ 22,610 "," $ 9,948 ","12/1/2013","12","December","2013"
"Government","United States of America","Velo","Low","736"," $ 120 "," $ 20 "," $ 14,720 "," $ 589 "," $ 14,131 "," $ 7,360 "," $ 6,771 ","9/1/2013","9","September","2013"
"Government","Canada","Carretera","Low","2851"," $ 3 "," $ 7 "," $ 19,957 "," $ 798 "," $ 19,159 "," $ 14,255 "," $ 4,904 ","10/1/2013","10","October","2013"
"Small Business","Germany","Carretera","Low","2021"," $ 3 "," $ 300 "," $ 606,300 "," $ 24,252 "," $ 582,048 "," $ 505,250 "," $ 76,798 ","10/1/2014","10","October","2014"
"Government","United States of America","Carretera","Low","274"," $ 3 "," $ 350 "," $ 95,900 "," $ 3,836 "," $ 92,064 "," $ 71,240 "," $ 20,824 ","12/1/2014","12","December","2014"
"Midmarket","Canada","Montana","Low","1967"," $ 5 "," $ 15 "," $ 29,505 "," $ 1,180 "," $ 28,325 "," $ 19,670 "," $ 8,655 ","3/1/2014","3","March","2014"
"Small Business","Germany","Montana","Low","1859"," $ 5 "," $ 300 "," $ 557,700 "," $ 22,308 "," $ 535,392 "," $ 464,750 "," $ 70,642 ","8/1/2014","8","August","2014"
"Government","Canada","Montana","Low","2851"," $ 5 "," $ 7 "," $ 19,957 "," $ 798 "," $ 19,159 "," $ 14,255 "," $ 4,904 ","10/1/2013","10","October","2013"
"Small Business","Germany","Montana","Low","2021"," $ 5 "," $ 300 "," $ 606,300 "," $ 24,252 "," $ 582,048 "," $ 505,250 "," $ 76,798 ","10/1/2014","10","October","2014"
"Enterprise","Mexico","Montana","Low","1138"," $ 5 "," $ 125 "," $ 142,250 "," $ 5,690 "," $ 136,560 "," $ 136,560 ","0","12/1/2014","12","December","2014"
"Government","Canada","Paseo","Low","4251"," $ 10 "," $ 7 "," $ 29,757 "," $ 1,190 "," $ 28,567 "," $ 21,255 "," $ 7,312 ","1/1/2014","1","January","2014"
"Enterprise","Germany","Paseo","Low","795"," $ 10 "," $ 125 "," $ 99,375 "," $ 3,975 "," $ 95,400 "," $ 95,400 ","0","3/1/2014","3","March","2014"
"Small Business","Germany","Paseo","Low","1414"," $ 10 "," $ 300 "," $ 424,350 "," $ 16,974 "," $ 407,376 "," $ 353,625 "," $ 53,751 ","4/1/2014","4","April","2014"
"Small Business","United States of America","Paseo","Low","2918"," $ 10 "," $ 300 "," $ 875,400 "," $ 35,016 "," $ 840,384 "," $ 729,500 "," $ 110,884 ","5/1/2014","5","May","2014"
"Government","United States of America","Paseo","Low","3450"," $ 10 "," $ 350 "," $ 1,207,500 "," $ 48,300 "," $ 1,159,200 "," $ 897,000 "," $ 262,200 ","7/1/2014","7","July","2014"
"Enterprise","France","Paseo","Low","2988"," $ 10 "," $ 125 "," $ 373,500 "," $ 14,940 "," $ 358,560 "," $ 358,560 ","0","7/1/2014","7","July","2014"
"Midmarket","Canada","Paseo","Low","218"," $ 10 "," $ 15 "," $ 3,270 "," $ 131 "," $ 3,139 "," $ 2,180 "," $ 959 ","9/1/2014","9","September","2014"
"Government","Canada","Paseo","Low","2074"," $ 10 "," $ 20 "," $ 41,480 "," $ 1,659 "," $ 39,821 "," $ 20,740 "," $ 19,081 ","9/1/2014","9","September","2014"
"Government","United States of America","Paseo","Low","1056"," $ 10 "," $ 20 "," $ 21,120 "," $ 845 "," $ 20,275 "," $ 10,560 "," $ 9,715 ","9/1/2014","9","September","2014"
"Midmarket","United States of America","Paseo","Low","671"," $ 10 "," $ 15 "," $ 10,065 "," $ 403 "," $ 9,662 "," $ 6,710 "," $ 2,952 ","10/1/2013","10","October","2013"
"Midmarket","Mexico","Paseo","Low","1514"," $ 10 "," $ 15 "," $ 22,710 "," $ 908 "," $ 21,802 "," $ 15,140 "," $ 6,662 ","10/1/2013","10","October","2013"
"Government","United States of America","Paseo","Low","274"," $ 10 "," $ 350 "," $ 95,900 "," $ 3,836 "," $ 92,064 "," $ 71,240 "," $ 20,824 ","12/1/2014","12","December","2014"
"Enterprise","Mexico","Paseo","Low","1138"," $ 10 "," $ 125 "," $ 142,250 "," $ 5,690 "," $ 136,560 "," $ 136,560 ","0","12/1/2014","12","December","2014"
"Channel Partners","United States of America","Velo","Low","1465"," $ 120 "," $ 12 "," $ 17,580 "," $ 703 "," $ 16,877 "," $ 4,395 "," $ 12,482 ","3/1/2014","3","March","2014"
"Government","Canada","Velo","Low","2646"," $ 120 "," $ 20 "," $ 52,920 "," $ 2,117 "," $ 50,803 "," $ 26,460 "," $ 24,343 ","9/1/2013","9","September","2013"
"Government","France","Velo","Low","2177"," $ 120 "," $ 350 "," $ 761,950 "," $ 30,478 "," $ 731,472 "," $ 566,020 "," $ 165,452 ","10/1/2014","10","October","2014"
"Channel Partners","France","VTT","Low","866"," $ 250 "," $ 12 "," $ 10,392 "," $ 416 "," $ 9,976 "," $ 2,598 "," $ 7,378 ","5/1/2014","5","May","2014"
"Government","United States of America","VTT","Low","349"," $ 250 "," $ 350 "," $ 122,150 "," $ 4,886 "," $ 117,264 "," $ 90,740 "," $ 26,524 ","9/1/2013","9","September","2013"
"Government","France","VTT","Low","2177"," $ 250 "," $ 350 "," $ 761,950 "," $ 30,478 "," $ 731,472 "," $ 566,020 "," $ 165,452 ","10/1/2014","10","October","2014"
"Midmarket","Mexico","VTT","Low","1514"," $ 250 "," $ 15 "," $ 22,710 "," $ 908 "," $ 21,802 "," $ 15,140 "," $ 6,662 ","10/1/2013","10","October","2013"
"Government","Mexico","Amarilla","Low","1865"," $ 260 "," $ 350 "," $ 652,750 "," $ 26,110 "," $ 626,640 "," $ 484,900 "," $ 141,740 ","2/1/2014","2","February","2014"
"Enterprise","Mexico","Amarilla","Low","1074"," $ 260 "," $ 125 "," $ 134,250 "," $ 5,370 "," $ 128,880 "," $ 128,880 ","0","4/1/2014","4","April","2014"
"Government","Germany","Amarilla","Low","1907"," $ 260 "," $ 350 "," $ 667,450 "," $ 26,698 "," $ 640,752 "," $ 495,820 "," $ 144,932 ","9/1/2014","9","September","2014"
"Midmarket","United States of America","Amarilla","Low","671"," $ 260 "," $ 15 "," $ 10,065 "," $ 403 "," $ 9,662 "," $ 6,710 "," $ 2,952 ","10/1/2013","10","October","2013"
"Government","Canada","Amarilla","Low","1778"," $ 260 "," $ 350 "," $ 622,300 "," $ 24,892 "," $ 597,408 "," $ 462,280 "," $ 135,128 ","12/1/2013","12","December","2013"
"Government","Germany","Montana","Medium","1159"," $ 5 "," $ 7 "," $ 8,113 "," $ 406 "," $ 7,707 "," $ 5,795 "," $ 1,912 ","10/1/2013","10","October","2013"
"Government","Germany","Paseo","Medium","1372"," $ 10 "," $ 7 "," $ 9,604 "," $ 480 "," $ 9,124 "," $ 6,860 "," $ 2,264 ","1/1/2014","1","January","2014"
"Government","Canada","Paseo","Medium","2349"," $ 10 "," $ 7 "," $ 16,443 "," $ 822 "," $ 15,621 "," $ 11,745 "," $ 3,876 ","9/1/2013","9","September","2013"
"Government","Mexico","Paseo","Medium","2689"," $ 10 "," $ 7 "," $ 18,823 "," $ 941 "," $ 17,882 "," $ 13,445 "," $ 4,437 ","10/1/2014","10","October","2014"
"Channel Partners","Canada","Paseo","Medium","2431"," $ 10 "," $ 12 "," $ 29,172 "," $ 1,459 "," $ 27,713 "," $ 7,293 "," $ 20,420 ","12/1/2014","12","December","2014"
"Channel Partners","Canada","Velo","Medium","2431"," $ 120 "," $ 12 "," $ 29,172 "," $ 1,459 "," $ 27,713 "," $ 7,293 "," $ 20,420 ","12/1/2014","12","December","2014"
"Government","Mexico","VTT","Medium","2689"," $ 250 "," $ 7 "," $ 18,823 "," $ 941 "," $ 17,882 "," $ 13,445 "," $ 4,437 ","10/1/2014","10","October","2014"
"Government","Mexico","Amarilla","Medium","1683"," $ 260 "," $ 7 "," $ 11,781 "," $ 589 "," $ 11,192 "," $ 8,415 "," $ 2,777 ","7/1/2014","7","July","2014"
"Channel Partners","Mexico","Amarilla","Medium","1123"," $ 260 "," $ 12 "," $ 13,476 "," $ 674 "," $ 12,802 "," $ 3,369 "," $ 9,433 ","8/1/2014","8","August","2014"
"Government","Germany","Amarilla","Medium","1159"," $ 260 "," $ 7 "," $ 8,113 "," $ 406 "," $ 7,707 "," $ 5,795 "," $ 1,912 ","10/1/2013","10","October","2013"
"Channel Partners","France","Carretera","Medium","1865"," $ 3 "," $ 12 "," $ 22,380 "," $ 1,119 "," $ 21,261 "," $ 5,595 "," $ 15,666 ","2/1/2014","2","February","2014"
"Channel Partners","Germany","Carretera","Medium","1116"," $ 3 "," $ 12 "," $ 13,392 "," $ 670 "," $ 12,722 "," $ 3,348 "," $ 9,374 ","2/1/2014","2","February","2014"
"Government","France","Carretera","Medium","1563"," $ 3 "," $ 20 "," $ 31,260 "," $ 1,563 "," $ 29,697 "," $ 15,630 "," $ 14,067 ","5/1/2014","5","May","2014"
"Small Business","United States of America","Carretera","Medium","991"," $ 3 "," $ 300 "," $ 297,300 "," $ 14,865 "," $ 282,435 "," $ 247,750 "," $ 34,685 ","6/1/2014","6","June","2014"
"Government","Germany","Carretera","Medium","1016"," $ 3 "," $ 7 "," $ 7,112 "," $ 356 "," $ 6,756 "," $ 5,080 "," $ 1,676 ","11/1/2013","11","November","2013"
"Midmarket","Mexico","Carretera","Medium","2791"," $ 3 "," $ 15 "," $ 41,865 "," $ 2,093 "," $ 39,772 "," $ 27,910 "," $ 11,862 ","11/1/2014","11","November","2014"
"Government","United States of America","Carretera","Medium","570"," $ 3 "," $ 7 "," $ 3,990 "," $ 200 "," $ 3,791 "," $ 2,850 "," $ 941 ","12/1/2014","12","December","2014"
"Government","France","Carretera","Medium","2487"," $ 3 "," $ 7 "," $ 17,409 "," $ 870 "," $ 16,539 "," $ 12,435 "," $ 4,104 ","12/1/2014","12","December","2014"
"Government","France","Montana","Medium","1384"," $ 5 "," $ 350 "," $ 484,575 "," $ 24,229 "," $ 460,346 "," $ 359,970 "," $ 100,376 ","1/1/2014","1","January","2014"
"Enterprise","United States of America","Montana","Medium","3627"," $ 5 "," $ 125 "," $ 453,375 "," $ 22,669 "," $ 430,706 "," $ 435,240 ","-$ 4,534 ","7/1/2014","7","July","2014"
"Government","Mexico","Montana","Medium","720"," $ 5 "," $ 350 "," $ 252,000 "," $ 12,600 "," $ 239,400 "," $ 187,200 "," $ 52,200 ","9/1/2013","9","September","2013"
"Channel Partners","Germany","Montana","Medium","2342"," $ 5 "," $ 12 "," $ 28,104 "," $ 1,405 "," $ 26,699 "," $ 7,026 "," $ 19,673 ","11/1/2014","11","November","2014"
"Small Business","Mexico","Montana","Medium","1100"," $ 5 "," $ 300 "," $ 330,000 "," $ 16,500 "," $ 313,500 "," $ 275,000 "," $ 38,500 ","12/1/2013","12","December","2013"
"Government","France","Paseo","Medium","1303"," $ 10 "," $ 20 "," $ 26,060 "," $ 1,303 "," $ 24,757 "," $ 13,030 "," $ 11,727 ","2/1/2014","2","February","2014"
"Enterprise","United States of America","Paseo","Medium","2992"," $ 10 "," $ 125 "," $ 374,000 "," $ 18,700 "," $ 355,300 "," $ 359,040 ","-$ 3,740 ","3/1/2014","3","March","2014"
"Enterprise","France","Paseo","Medium","2385"," $ 10 "," $ 125 "," $ 298,125 "," $ 14,906 "," $ 283,219 "," $ 286,200 ","-$ 2,981 ","3/1/2014","3","March","2014"
"Small Business","Mexico","Paseo","Medium","1607"," $ 10 "," $ 300 "," $ 482,100 "," $ 24,105 "," $ 457,995 "," $ 401,750 "," $ 56,245 ","4/1/2014","4","April","2014"
"Government","United States of America","Paseo","Medium","2327"," $ 10 "," $ 7 "," $ 16,289 "," $ 814 "," $ 15,475 "," $ 11,635 "," $ 3,840 ","5/1/2014","5","May","2014"
"Small Business","United States of America","Paseo","Medium","991"," $ 10 "," $ 300 "," $ 297,300 "," $ 14,865 "," $ 282,435 "," $ 247,750 "," $ 34,685 ","6/1/2014","6","June","2014"
"Government","United States of America","Paseo","Medium","602"," $ 10 "," $ 350 "," $ 210,700 "," $ 10,535 "," $ 200,165 "," $ 156,520 "," $ 43,645 ","6/1/2014","6","June","2014"
"Midmarket","France","Paseo","Medium","2620"," $ 10 "," $ 15 "," $ 39,300 "," $ 1,965 "," $ 37,335 "," $ 26,200 "," $ 11,135 ","9/1/2014","9","September","2014"
"Government","Canada","Paseo","Medium","1228"," $ 10 "," $ 350 "," $ 429,800 "," $ 21,490 "," $ 408,310 "," $ 319,280 "," $ 89,030 ","10/1/2013","10","October","2013"
"Government","Canada","Paseo","Medium","1389"," $ 10 "," $ 20 "," $ 27,780 "," $ 1,389 "," $ 26,391 "," $ 13,890 "," $ 12,501 ","10/1/2013","10","October","2013"
"Enterprise","United States of America","Paseo","Medium","861"," $ 10 "," $ 125 "," $ 107,625 "," $ 5,381 "," $ 102,244 "," $ 103,320 ","-$ 1,076 ","10/1/2014","10","October","2014"
"Enterprise","France","Paseo","Medium","704"," $ 10 "," $ 125 "," $ 88,000 "," $ 4,400 "," $ 83,600 "," $ 84,480 ","-$ 880 ","10/1/2013","10","October","2013"
"Government","Canada","Paseo","Medium","1802"," $ 10 "," $ 20 "," $ 36,040 "," $ 1,802 "," $ 34,238 "," $ 18,020 "," $ 16,218 ","12/1/2013","12","December","2013"
"Government","United States of America","Paseo","Medium","2663"," $ 10 "," $ 20 "," $ 53,260 "," $ 2,663 "," $ 50,597 "," $ 26,630 "," $ 23,967 ","12/1/2014","12","December","2014"
"Government","France","Paseo","Medium","2136"," $ 10 "," $ 7 "," $ 14,952 "," $ 748 "," $ 14,204 "," $ 10,680 "," $ 3,524 ","12/1/2013","12","December","2013"
"Midmarket","Germany","Paseo","Medium","2116"," $ 10 "," $ 15 "," $ 31,740 "," $ 1,587 "," $ 30,153 "," $ 21,160 "," $ 8,993 ","12/1/2013","12","December","2013"
"Midmarket","United States of America","Velo","Medium","555"," $ 120 "," $ 15 "," $ 8,325 "," $ 416 "," $ 7,909 "," $ 5,550 "," $ 2,359 ","1/1/2014","1","January","2014"
"Midmarket","Mexico","Velo","Medium","2861"," $ 120 "," $ 15 "," $ 42,915 "," $ 2,146 "," $ 40,769 "," $ 28,610 "," $ 12,159 ","1/1/2014","1","January","2014"
"Enterprise","Germany","Velo","Medium","807"," $ 120 "," $ 125 "," $ 100,875 "," $ 5,044 "," $ 95,831 "," $ 96,840 ","-$ 1,009 ","2/1/2014","2","February","2014"
"Government","United States of America","Velo","Medium","602"," $ 120 "," $ 350 "," $ 210,700 "," $ 10,535 "," $ 200,165 "," $ 156,520 "," $ 43,645 ","6/1/2014","6","June","2014"
"Government","United States of America","Velo","Medium","2832"," $ 120 "," $ 20 "," $ 56,640 "," $ 2,832 "," $ 53,808 "," $ 28,320 "," $ 25,488 ","8/1/2014","8","August","2014"
"Government","France","Velo","Medium","1579"," $ 120 "," $ 20 "," $ 31,580 "," $ 1,579 "," $ 30,001 "," $ 15,790 "," $ 14,211 ","8/1/2014","8","August","2014"
"Enterprise","United States of America","Velo","Medium","861"," $ 120 "," $ 125 "," $ 107,625 "," $ 5,381 "," $ 102,244 "," $ 103,320 ","-$ 1,076 ","10/1/2014","10","October","2014"
"Enterprise","France","Velo","Medium","704"," $ 120 "," $ 125 "," $ 88,000 "," $ 4,400 "," $ 83,600 "," $ 84,480 ","-$ 880 ","10/1/2013","10","October","2013"
"Government","France","Velo","Medium","1033"," $ 120 "," $ 20 "," $ 20,660 "," $ 1,033 "," $ 19,627 "," $ 10,330 "," $ 9,297 ","12/1/2013","12","December","2013"
"Small Business","Germany","Velo","Medium","1250"," $ 120 "," $ 300 "," $ 375,000 "," $ 18,750 "," $ 356,250 "," $ 312,500 "," $ 43,750 ","12/1/2014","12","December","2014"
"Government","Canada","VTT","Medium","1389"," $ 250 "," $ 20 "," $ 27,780 "," $ 1,389 "," $ 26,391 "," $ 13,890 "," $ 12,501 ","10/1/2013","10","October","2013"
"Government","United States of America","VTT","Medium","1265"," $ 250 "," $ 20 "," $ 25,300 "," $ 1,265 "," $ 24,035 "," $ 12,650 "," $ 11,385 ","11/1/2013","11","November","2013"
"Government","Germany","VTT","Medium","2297"," $ 250 "," $ 20 "," $ 45,940 "," $ 2,297 "," $ 43,643 "," $ 22,970 "," $ 20,673 ","11/1/2013","11","November","2013"
"Government","United States of America","VTT","Medium","2663"," $ 250 "," $ 20 "," $ 53,260 "," $ 2,663 "," $ 50,597 "," $ 26,630 "," $ 23,967 ","12/1/2014","12","December","2014"
"Government","United States of America","VTT","Medium","570"," $ 250 "," $ 7 "," $ 3,990 "," $ 200 "," $ 3,791 "," $ 2,850 "," $ 941 ","12/1/2014","12","December","2014"
"Government","France","VTT","Medium","2487"," $ 250 "," $ 7 "," $ 17,409 "," $ 870 "," $ 16,539 "," $ 12,435 "," $ 4,104 ","12/1/2014","12","December","2014"
"Government","Germany","Amarilla","Medium","1350"," $ 260 "," $ 350 "," $ 472,500 "," $ 23,625 "," $ 448,875 "," $ 351,000 "," $ 97,875 ","2/1/2014","2","February","2014"
"Government","Canada","Amarilla","Medium","552"," $ 260 "," $ 350 "," $ 193,200 "," $ 9,660 "," $ 183,540 "," $ 143,520 "," $ 40,020 ","8/1/2014","8","August","2014"
"Government","Canada","Amarilla","Medium","1228"," $ 260 "," $ 350 "," $ 429,800 "," $ 21,490 "," $ 408,310 "," $ 319,280 "," $ 89,030 ","10/1/2013","10","October","2013"
"Small Business","Germany","Amarilla","Medium","1250"," $ 260 "," $ 300 "," $ 375,000 "," $ 18,750 "," $ 356,250 "," $ 312,500 "," $ 43,750 ","12/1/2014","12","December","2014"
"Midmarket","France","Paseo","Medium","3801"," $ 10 "," $ 15 "," $ 57,015 "," $ 3,421 "," $ 53,594 "," $ 38,010 "," $ 15,584 ","4/1/2014","4","April","2014"
"Government","United States of America","Carretera","Medium","1118"," $ 3 "," $ 20 "," $ 22,350 "," $ 1,341 "," $ 21,009 "," $ 11,175 "," $ 9,834 ","1/1/2014","1","January","2014"
"Midmarket","Canada","Carretera","Medium","2844"," $ 3 "," $ 15 "," $ 42,660 "," $ 2,560 "," $ 40,100 "," $ 28,440 "," $ 11,660 ","6/1/2014","6","June","2014"
"Channel Partners","Mexico","Carretera","Medium","562"," $ 3 "," $ 12 "," $ 6,744 "," $ 405 "," $ 6,339 "," $ 1,686 "," $ 4,653 ","9/1/2014","9","September","2014"
"Channel Partners","Canada","Carretera","Medium","2299"," $ 3 "," $ 12 "," $ 27,588 "," $ 1,655 "," $ 25,933 "," $ 6,897 "," $ 19,036 ","10/1/2013","10","October","2013"
"Midmarket","United States of America","Carretera","Medium","2030"," $ 3 "," $ 15 "," $ 30,450 "," $ 1,827 "," $ 28,623 "," $ 20,300 "," $ 8,323 ","11/1/2014","11","November","2014"
"Government","United States of America","Carretera","Medium","263"," $ 3 "," $ 7 "," $ 1,841 "," $ 110 "," $ 1,731 "," $ 1,315 "," $ 416 ","11/1/2013","11","November","2013"
"Enterprise","Germany","Carretera","Medium","887"," $ 3 "," $ 125 "," $ 110,875 "," $ 6,653 "," $ 104,223 "," $ 106,440 ","-$ 2,218 ","12/1/2013","12","December","2013"
"Government","Mexico","Montana","Medium","980"," $ 5 "," $ 350 "," $ 343,000 "," $ 20,580 "," $ 322,420 "," $ 254,800 "," $ 67,620 ","4/1/2014","4","April","2014"
"Government","Germany","Montana","Medium","1460"," $ 5 "," $ 350 "," $ 511,000 "," $ 30,660 "," $ 480,340 "," $ 379,600 "," $ 100,740 ","5/1/2014","5","May","2014"
"Government","France","Montana","Medium","1403"," $ 5 "," $ 7 "," $ 9,821 "," $ 589 "," $ 9,232 "," $ 7,015 "," $ 2,217 ","10/1/2013","10","October","2013"
"Channel Partners","United States of America","Montana","Medium","2723"," $ 5 "," $ 12 "," $ 32,676 "," $ 1,961 "," $ 30,715 "," $ 8,169 "," $ 22,546 ","11/1/2014","11","November","2014"
"Government","France","Paseo","Medium","1496"," $ 10 "," $ 350 "," $ 523,600 "," $ 31,416 "," $ 492,184 "," $ 388,960 "," $ 103,224 ","6/1/2014","6","June","2014"
"Channel Partners","Canada","Paseo","Medium","2299"," $ 10 "," $ 12 "," $ 27,588 "," $ 1,655 "," $ 25,933 "," $ 6,897 "," $ 19,036 ","10/1/2013","10","October","2013"
"Government","United States of America","Paseo","Medium","727"," $ 10 "," $ 350 "," $ 254,450 "," $ 15,267 "," $ 239,183 "," $ 189,020 "," $ 50,163 ","10/1/2013","10","October","2013"
"Enterprise","Canada","Velo","Medium","952"," $ 120 "," $ 125 "," $ 119,000 "," $ 7,140 "," $ 111,860 "," $ 114,240 ","-$ 2,380 ","2/1/2014","2","February","2014"
"Enterprise","United States of America","Velo","Medium","2755"," $ 120 "," $ 125 "," $ 344,375 "," $ 20,663 "," $ 323,713 "," $ 330,600 ","-$ 6,888 ","2/1/2014","2","February","2014"
"Midmarket","Germany","Velo","Medium","1530"," $ 120 "," $ 15 "," $ 22,950 "," $ 1,377 "," $ 21,573 "," $ 15,300 "," $ 6,273 ","5/1/2014","5","May","2014"
"Government","France","Velo","Medium","1496"," $ 120 "," $ 350 "," $ 523,600 "," $ 31,416 "," $ 492,184 "," $ 388,960 "," $ 103,224 ","6/1/2014","6","June","2014"
"Government","Mexico","Velo","Medium","1498"," $ 120 "," $ 7 "," $ 10,486 "," $ 629 "," $ 9,857 "," $ 7,490 "," $ 2,367 ","6/1/2014","6","June","2014"
"Small Business","France","Velo","Medium","1221"," $ 120 "," $ 300 "," $ 366,300 "," $ 21,978 "," $ 344,322 "," $ 305,250 "," $ 39,072 ","10/1/2013","10","October","2013"
"Government","France","Velo","Medium","2076"," $ 120 "," $ 350 "," $ 726,600 "," $ 43,596 "," $ 683,004 "," $ 539,760 "," $ 143,244 ","10/1/2013","10","October","2013"
"Midmarket","Canada","VTT","Medium","2844"," $ 250 "," $ 15 "," $ 42,660 "," $ 2,560 "," $ 40,100 "," $ 28,440 "," $ 11,660 ","6/1/2014","6","June","2014"
"Government","Mexico","VTT","Medium","1498"," $ 250 "," $ 7 "," $ 10,486 "," $ 629 "," $ 9,857 "," $ 7,490 "," $ 2,367 ","6/1/2014","6","June","2014"
